TIME,LABEL
0.125520825,0.0
0.535416663,1.0
0.915624976,2.0
1.335937500,3.0
1.743229151,4.0
2.163541794,5.0
2.581944466,6.0
2.978125095,7.0
3.409895897,8.0
3.823958397,9.0
4.247395515,10.0
4.643750191,11.0
5.084896088,12.0
5.513020515,13.0
5.941666603,14.0
6.377083302,15.0
6.820312500,16.0
7.207812309,17.0
7.594791412,18.0
8.024478912,19.0
8.426041603,20.0
8.822916985,21.0
9.214930534,22.0
9.616666794,23.0
10.040103912,24.0
10.445833206,25.0
10.854166031,26.0
11.259374619,27.0
11.694791794,28.0
12.147916794,29.0
12.598437309,30.0
13.079166412,31.0
13.552604675,32.0
13.955207825,33.0
14.388542175,34.0
14.770833969,35.0
15.184896469,36.0
15.582292557,37.0
15.989583969,38.0
16.402603149,39.0
16.849653244,40.0
17.255208969,41.0
17.713193893,42.0
18.130208969,43.0
18.562150955,44.0
18.965625763,45.0
19.489234924,46.0
20.197395325,47.0
20.844791412,48.0
21.264583588,49.0
21.684894562,50.0
22.094791412,51.0
22.513019562,52.0
22.941146851,53.0
23.345138550,54.0
23.750000000,55.0
24.188541412,56.0
24.597917557,57.0
25.008333206,58.0
25.421875000,59.0
25.855209351,60.0
26.297395706,61.0
26.769271851,62.0
27.265625000,63.0
27.742187500,64.0
28.159896851,65.0
28.590625763,66.0
28.965625763,67.0
29.399478912,68.0
29.798439026,69.0
30.218750000,70.0
30.628646851,71.0
31.097915649,72.0
31.502082825,73.0
31.943403244,74.0
32.354167938,75.0
32.792709351,76.0
33.196876526,77.0
33.714584351,78.0
34.451560974,79.0
35.093231201,80.0
35.504165649,81.0
35.932292938,82.0
36.358856201,83.0
36.783332825,84.0
37.182815552,85.0
37.607639313,86.0
38.029167175,87.0
38.464061737,88.0
38.880207062,89.0
39.308334351,90.0
39.743751526,91.0
40.136459351,92.0
40.596355438,93.0
41.079166412,94.0
41.598957062,95.0
