TIME,VALUE,DURATION,LEVEL,LABEL
0.125000000,48,0.075000003,0.8,n9-1
0.126041666,74,0.085416667,0.8,n1-1
0.229166672,72,0.075000003,0.8,n2-1
0.324999988,71,0.077083334,0.8,n3-1
0.428124994,72,0.084375001,0.8,n4-1
0.531250000,60,0.086458333,0.8,n10-1
0.539583325,71,0.075000003,0.8,n5-1
0.649999976,72,0.075000003,0.8,n6-1
0.727083325,71,0.085416667,0.8,n7-1
0.816666663,72,0.081249997,0.8,n8-1
0.914583325,81,0.097916670,0.8,n11-1
0.916666687,64,0.090625003,0.8,n19-1
1.045833349,79,0.082291670,0.8,n12-1
1.136458278,78,0.075000003,0.8,n13-1
1.229166627,79,0.083333336,0.8,n14-1
1.333333373,78,0.075000003,0.8,n15-1
1.338541627,60,0.075000003,0.8,n20-1
1.416666627,79,0.082291670,0.8,n16-1
1.517708302,78,0.079166666,0.8,n17-1
1.602083325,79,0.085416667,0.8,n18-1
1.713541627,80,0.106250003,0.8,n21-1
1.772916675,65,0.075000003,0.8,n29-1
1.831249952,81,0.160416663,0.8,n22-1
1.948958278,84,0.118749999,0.8,n23-1
2.033333302,83,0.112499997,0.8,n24-1
2.140625000,86,0.117708333,0.8,n25-1
2.186458349,60,0.082291670,0.8,n30-1
2.230208397,84,0.118749999,0.8,n26-1
2.313541651,83,0.082291670,0.8,n27-1
2.410416603,81,0.075000003,0.8,n28-1
2.564583302,81,0.088541664,0.8,n31-1
2.589583397,64,0.363541663,0.8,n40-1
2.591666698,60,0.398958325,0.8,n39-1
2.685416698,79,0.097916670,0.8,n32-1
2.788541555,88,0.101041667,0.8,n33-1
2.863541603,86,0.147916660,0.8,n34-1
2.978125095,84,0.096874997,0.8,n35-1
3.055208445,83,0.081249997,0.8,n36-1
3.143749952,81,0.075000003,0.8,n37-1
3.266666651,61,0.075000003,0.8,n42-1
3.272916555,79,0.075000003,0.8,n38-1
3.398958445,79,0.086458333,0.8,n43-1
3.420833349,62,0.452083319,0.8,n51-1
3.516666651,77,0.094791666,0.8,n44-1
3.621875048,86,0.129166663,0.8,n45-1
3.712500095,84,0.156250000,0.8,n46-1
3.823958397,83,0.113541670,0.8,n47-1
3.891666651,81,0.075000003,0.8,n48-1
3.992708445,79,0.075000003,0.8,n49-1
4.082291603,59,0.075000003,0.8,n53-1
4.109375000,77,0.075000003,0.8,n50-1
4.234375000,77,0.075000003,0.8,n54-1
4.260416508,60,0.364583343,0.8,n62-1
4.330208302,76,0.095833331,0.8,n55-1
4.441666603,84,0.122916669,0.8,n56-1
4.529166698,83,0.168750003,0.8,n57-1
4.643750191,81,0.101041667,0.8,n58-1
4.720833302,79,0.076041669,0.8,n59-1
4.813541889,77,0.075000003,0.8,n60-1
4.923958302,76,0.126041666,0.8,n61-1
4.935416698,57,0.120833330,0.8,n64-1
5.068749905,74,0.219791666,0.8,n65-1
