TIME,VALUE,DURATION,LEVEL,LABEL
0.027083334,48,0.075000003,0.8,n9-1
0.038541667,74,0.075000003,0.8,n1-1
0.136458337,72,0.075000003,0.8,n2-1
0.250000000,71,0.075000003,0.8,n3-1
0.327083319,72,0.078125000,0.8,n4-1
0.413541675,71,0.075000003,0.8,n5-1
0.438541681,60,0.075000003,0.8,n10-1
0.542708337,72,0.075000003,0.8,n6-1
0.622916639,71,0.075000003,0.8,n7-1
0.718750000,72,0.075000003,0.8,n8-1
0.811458349,81,0.096874997,0.8,n11-1
0.847916663,64,0.101041667,0.8,n19-1
0.933333337,79,0.092708334,0.8,n12-1
1.044791698,78,0.075000003,0.8,n13-1
1.142708302,79,0.080208331,0.8,n14-1
1.247916698,78,0.075000003,0.8,n15-1
1.250000000,60,0.075000003,0.8,n20-1
1.345833302,79,0.075000003,0.8,n16-1
1.455208302,78,0.081249997,0.8,n17-1
1.539583325,79,0.076041669,0.8,n18-1
