onset_sec,duration_sec,pitch,velocity,track,channel,id
0.015625,0.23541667,74,60,0,0,n0
0.019791666,0.51875,48,48,0,0,n1
0.259375,0.17395833,72,44,0,0,n2
0.43645832,0.21354167,71,58,0,0,n3
0.66875,0.21145834,72,53,0,0,n4
0.88125,0.18541667,71,59,0,0,n5
0.8979167,0.91770834,60,47,0,0,n6
1.0864583,0.16458334,72,59,0,0,n7
1.275,0.253125,71,55,0,0,n8
1.5114583,0.18020834,72,64,0,0,n9
1.7208333,0.15,81,62,0,0,n10
1.7416667,0.8125,64,50,0,0,n11
1.909375,0.215625,79,62,0,0,n12
2.1447916,0.15104167,78,65,0,0,n13
2.30625,0.19166666,79,57,0,0,n14
2.54375,0.13333334,78,59,0,0,n15
2.553125,0.7875,60,53,0,0,n16
2.6885417,0.20520833,79,55,0,0,n17
2.93125,0.14895834,78,60,0,0,n18
3.096875,0.17916666,79,50,0,0,n19
3.3177083,0.23020834,80,60,0,0,n20
3.3802083,0.9458333,65,50,0,0,n21
3.5427084,0.27395833,81,56,0,0,n22
3.7458334,0.221875,84,59,0,0,n23
3.9354167,0.23125,83,62,0,0,n24
4.132292,0.24895833,86,66,0,0,n25
4.2072916,0.38854167,60,48,0,0,n26
4.352083,0.278125,84,71,0,0,n27
4.594792,0.19270833,83,63,0,0,n28
4.7833333,0.08125,81,63,0,0,n29
5.015625,0.21041666,81,67,0,0,n30
5.034375,1.3833333,64,37,0,0,n31
5.0375,1.403125,60,38,0,0,n32
5.225,0.23541667,79,62,0,0,n33
5.436458,0.196875,88,71,0,0,n34
5.6208334,0.35,86,61,0,0,n35
5.8635416,0.234375,84,68,0,0,n36
6.0572915,0.20104167,83,65,0,0,n37
6.2708335,0.110416666,81,63,0,0,n38
6.4625,0.121875,61,63,0,0,n39
6.4635415,0.060416665,79,64,0,0,n40
6.6697917,1.3822917,62,65,0,0,n41
6.670833,0.14583333,79,72,0,0,n42
6.8489585,0.21041666,77,65,0,0,n43
7.0572915,0.20208333,86,71,0,0,n44
7.2385416,0.28958333,84,65,0,0,n45
7.459375,0.24583334,83,64,0,0,n46
7.6614585,0.18958333,81,63,0,0,n47
7.86875,0.128125,79,62,0,0,n48
8.073958,0.12291667,59,56,0,0,n49
8.075,0.063541666,77,68,0,0,n50
8.280209,1.259375,60,59,0,0,n51
8.280209,0.2,77,70,0,0,n52
8.5,0.20833333,76,62,0,0,n53
8.691667,0.21875,84,71,0,0,n54
8.858334,0.26458332,83,56,0,0,n55
9.092709,0.21979167,81,64,0,0,n56
9.295834,0.16770834,79,64,0,0,n57
9.492708,0.17708333,77,58,0,0,n58
9.569792,0.428125,57,36,0,0,n59
9.679167,0.26979166,76,66,0,0,n60
9.954166,0.50208336,74,66,0,0,n61
9.994792,0.721875,53,60,0,0,n62
10.370833,0.50104165,81,63,0,0,n63
10.747916,0.834375,55,56,0,0,n64
10.755208,0.434375,79,67,0,0,n65
11.161458,0.37604168,71,59,0,0,n66
11.553125,1.1583333,72,60,0,0,n67
11.595834,0.45833334,60,45,0,0,n68
12.495833,0.41041666,48,46,0,0,n69
13.379167,0.17916666,81,69,0,0,n70
13.415625,0.896875,64,43,0,0,n71
13.584375,0.20729166,79,55,0,0,n72
13.817708,0.21875,78,57,0,0,n73
14.046875,0.23541667,79,65,0,0,n74
14.29375,0.8020833,55,46,0,0,n75
14.294791,0.228125,78,68,0,0,n76
14.48125,0.24479167,79,57,0,0,n77
14.703125,0.21770833,81,63,0,0,n78
14.890625,0.10104167,79,65,0,0,n79
15.138541,0.934375,62,47,0,0,n80
15.144792,0.2,79,67,0,0,n81
15.345834,0.19166666,77,56,0,0,n82
15.55,0.22604166,76,58,0,0,n83
15.780209,0.17708333,77,64,0,0,n84
15.94375,0.23125,76,62,0,0,n85
16.005209,0.66875,55,43,0,0,n86
16.144793,0.2125,77,58,0,0,n87
16.363543,0.21875,79,64,0,0,n88
16.575,0.08020833,77,61,0,0,n89
16.80625,0.16770834,77,63,0,0,n90
16.81875,0.8208333,60,50,0,0,n91
16.955208,0.26979166,76,55,0,0,n92
17.21875,0.31145832,75,63,0,0,n93
17.390625,0.234375,76,63,0,0,n94
17.621876,0.2125,75,57,0,0,n95
17.641666,0.7895833,55,44,0,0,n96
17.825,0.20104167,76,68,0,0,n97
18.035418,0.24375,77,59,0,0,n98
18.24375,0.083333336,76,65,0,0,n99
18.471874,0.203125,76,64,0,0,n100
18.482292,1.0822917,65,49,0,0,n101
18.7,0.18541667,74,61,0,0,n102
18.904167,0.21354167,73,63,0,0,n103
19.092709,0.19895834,74,59,0,0,n104
19.320833,0.20416667,73,65,0,0,n105
19.35,0.33125,55,46,0,0,n106
19.497917,0.18333334,74,63,0,0,n107
19.711458,0.19479166,76,65,0,0,n108
19.908333,0.090625,74,67,0,0,n109
20.145834,0.175,81,71,0,0,n110
20.154167,1.3947917,64,43,0,0,n111
20.161459,1.3802084,55,47,0,0,n112
20.344791,0.190625,79,61,0,0,n113
20.557291,0.17916666,78,68,0,0,n114
20.740625,0.24166666,79,65,0,0,n115
20.955208,0.509375,88,73,0,0,n116
21.171875,0.275,84,47,0,0,n117
21.371876,0.21354167,81,37,0,0,n118
21.575,0.08958333,79,64,0,0,n119
21.796875,0.18645833,79,71,0,0,n120
21.819792,1.45625,62,43,0,0,n121
21.822916,1.4020833,55,39,0,0,n122
21.988543,0.22083333,77,59,0,0,n123
22.219791,0.18854167,76,67,0,0,n124
22.434376,0.20833333,77,65,0,0,n125
22.613543,0.46458334,86,75,0,0,n126
22.796875,0.25833333,83,65,0,0,n127
23.013542,0.2,79,66,0,0,n128
23.2125,0.08020833,77,63,0,0,n129
23.435417,0.17291667,77,69,0,0,n130
23.44375,1.1166667,60,43,0,0,n131
23.453125,1.1708333,55,35,0,0,n132
23.635416,0.16875,76,57,0,0,n133
23.832293,0.17604166,75,65,0,0,n134
24.014584,0.23645833,76,65,0,0,n135
24.2375,0.23125,84,69,0,0,n136
24.442709,0.22083333,79,71,0,0,n137
24.653126,0.225,77,64,0,0,n138
24.866667,0.30625,76,68,0,0,n139
24.867708,0.334375,60,51,0,0,n140
25.1625,0.8125,79,67,0,0,n141
25.191668,0.928125,55,44,0,0,n142
25.196875,0.76875,64,51,0,0,n143
25.922916,0.30625,76,65,0,0,n144
25.935417,0.28333333,60,49,0,0,n145
26.192709,0.47083333,59,50,0,0,n146
26.198957,0.521875,74,67,0,0,n147
27.110416,0.58229166,48,47,0,0,n148
27.111458,0.16145833,74,58,0,0,n149
27.295834,0.2,72,50,0,0,n150
27.490625,0.21354167,71,56,0,0,n151
27.723959,0.21354167,72,56,0,0,n152
27.919792,0.21041666,71,56,0,0,n153
27.945833,0.96875,60,60,0,0,n154
28.148958,0.21354167,72,61,0,0,n155
28.351042,0.2375,71,59,0,0,n156
28.565624,0.19375,72,59,0,0,n157
28.7875,0.1375,81,64,0,0,n158
28.789583,0.83125,64,50,0,0,n159
28.992708,0.19270833,79,58,0,0,n160
29.202084,0.14270833,78,66,0,0,n161
29.363543,0.21041666,79,59,0,0,n162
29.5875,0.1625,78,66,0,0,n163
29.6125,0.746875,60,42,0,0,n164
29.758333,0.16875,79,61,0,0,n165
29.953125,0.18020834,78,59,0,0,n166
30.141666,0.17395833,79,58,0,0,n167
30.366667,0.24583334,80,64,0,0,n168
30.38125,0.88125,65,58,0,0,n169
30.576042,0.25104168,81,67,0,0,n170
30.782291,0.20625,84,71,0,0,n171
30.969791,0.21875,83,67,0,0,n172
31.170834,0.23333333,86,73,0,0,n173
31.222918,0.53541666,60,56,0,0,n174
31.396875,0.26770833,84,69,0,0,n175
31.630209,0.16875,83,65,0,0,n176
31.802084,0.09583333,81,66,0,0,n177
32.045834,0.20729166,81,72,0,0,n178
32.053123,1.4208333,60,48,0,0,n179
32.064583,1.3697916,64,35,0,0,n180
32.264584,0.215625,79,68,0,0,n181
32.466667,0.221875,88,75,0,0,n182
32.669792,0.26875,86,68,0,0,n183
32.89479,0.21666667,84,67,0,0,n184
33.090626,0.17291667,83,67,0,0,n185
33.28125,0.119791664,81,67,0,0,n186
33.48125,0.06979167,79,71,0,0,n187
33.489582,0.11354167,61,59,0,0,n188
33.685417,0.19375,79,75,0,0,n189
33.68646,1.4270834,62,62,0,0,n190
33.89479,0.165625,77,68,0,0,n191
34.085415,0.18958333,86,81,0,0,n192
34.264584,0.290625,84,66,0,0,n193
34.503124,0.21041666,83,65,0,0,n194
34.69896,0.19375,81,67,0,0,n195
34.902084,0.119791664,79,68,0,0,n196
35.10104,0.07083333,77,65,0,0,n197
35.120834,0.092708334,59,56,0,0,n198
35.309376,0.196875,77,72,0,0,n199
35.316666,1.471875,60,60,0,0,n200
35.539585,0.215625,76,61,0,0,n201
35.754166,0.19270833,84,75,0,0,n202
35.942707,0.26666668,83,64,0,0,n203
36.171875,0.21770833,81,68,0,0,n204
36.371876,0.19583334,79,67,0,0,n205
36.584373,0.17916666,77,62,0,0,n206
