onset_sec,duration_sec,pitch,velocity,track,channel,id
0.014583333,0.059375,74,64,0,0,n0
0.026041666,0.0625,48,64,0,0,n1
0.1,0.052083332,72,55,0,0,n2
0.17395833,0.033333335,71,53,0,0,n3
0.25208333,0.055208333,72,60,0,0,n4
0.321875,0.048958335,71,55,0,0,n5
0.35416666,0.063541666,60,57,0,0,n6
0.425,0.032291666,72,56,0,0,n7
0.4875,0.09583333,71,64,0,0,n8
0.5875,0.030208332,72,49,0,0,n9
0.63854164,0.047916666,81,65,0,0,n10
0.66770834,0.063541666,64,64,0,0,n11
0.78229165,0.048958335,79,68,0,0,n12
0.85,0.042708334,78,61,0,0,n13
0.9302083,0.044791665,79,68,0,0,n14
0.99583334,0.05,60,50,0,0,n15
1.0041667,0.044791665,78,66,0,0,n16
1.0885416,0.055208333,79,63,0,0,n17
1.1739583,0.044791665,78,61,0,0,n18
1.2604166,0.048958335,79,69,0,0,n19
1.3208333,0.060416665,65,62,0,0,n20
1.3520833,0.08020833,80,68,0,0,n21
1.4427084,0.08958333,81,67,0,0,n22
1.5229167,0.115625,84,60,0,0,n23
1.6,0.083333336,83,69,0,0,n24
1.65,0.06666667,60,52,0,0,n25
1.696875,0.103125,86,64,0,0,n26
1.7572917,0.11354167,84,73,0,0,n27
1.8375,0.026041666,83,63,0,0,n28
1.9010416,0.027083334,81,46,0,0,n29
1.9822917,0.51354164,64,67,0,0,n30
1.9885417,0.5229167,60,63,0,0,n31
2.0197916,0.079166666,81,66,0,0,n32
2.1125,0.08020833,79,72,0,0,n33
2.2104166,0.110416666,88,67,0,0,n34
2.28125,0.13958333,86,65,0,0,n35
2.365625,0.092708334,84,61,0,0,n36
2.425,0.06666667,83,70,0,0,n37
2.49375,0.038541667,81,61,0,0,n38
2.609375,0.039583333,79,65,0,0,n39
2.63125,0.055208333,61,65,0,0,n40
2.73125,0.090625,79,69,0,0,n41
2.7635417,0.484375,62,71,0,0,n42
2.8416667,0.083333336,77,73,0,0,n43
2.953125,0.109375,86,61,0,0,n44
2.95625,0.027083334,88,58,0,0,n45
3.0145833,0.146875,84,63,0,0,n46
3.1072917,0.055208333,83,53,0,0,n47
3.1520834,0.055208333,81,70,0,0,n48
3.2208333,0.038541667,79,65,0,0,n49
3.3239584,0.0375,77,70,0,0,n50
3.33125,0.15208334,59,69,0,0,n51
3.440625,0.079166666,77,79,0,0,n52
3.471875,0.43333334,60,71,0,0,n53
3.5302083,0.10208333,76,69,0,0,n54
3.6260417,0.11666667,84,71,0,0,n55
3.696875,0.13125,83,65,0,0,n56
3.7916667,0.061458334,81,57,0,0,n57
3.834375,0.059375,79,65,0,0,n58
3.9083333,0.032291666,77,63,0,0,n59
3.9822917,0.10625,57,65,0,0,n60
3.9989583,0.092708334,76,72,0,0,n61
4.0916667,0.234375,74,74,0,0,n62
4.10625,0.34479168,53,71,0,0,n63
4.2947917,0.19166666,81,65,0,0,n64
4.4583335,0.17395833,79,74,0,0,n65
4.4645834,0.3375,55,59,0,0,n66
4.6427083,0.20208333,71,68,0,0,n67
4.825,0.34791666,60,60,0,0,n68
4.8260417,0.29270834,72,63,0,0,n69
5.153125,0.13541667,48,65,0,0,n70
5.4791665,0.060416665,81,69,0,0,n71
5.5041666,0.13020833,64,59,0,0,n72
5.5625,0.054166667,79,65,0,0,n73
5.6677084,0.044791665,78,59,0,0,n74
5.758333,0.032291666,79,60,0,0,n75
5.81875,0.09375,78,64,0,0,n76
5.835417,0.10625,55,58,0,0,n77
5.91875,0.07083333,79,48,0,0,n78
5.983333,0.121875,81,67,0,0,n79
6.0760417,0.047916666,79,59,0,0,n80
6.1895833,0.371875,62,67,0,0,n81
6.2145834,0.08125,79,79,0,0,n82
6.311458,0.044791665,77,67,0,0,n83
6.378125,0.054166667,76,65,0,0,n84
6.475,0.038541667,77,53,0,0,n85
6.5427084,0.09375,76,69,0,0,n86
6.5520835,0.12291667,55,59,0,0,n87
6.6375,0.03125,77,50,0,0,n88
6.684375,0.09583333,79,68,0,0,n89
6.764583,0.038541667,77,69,0,0,n90
6.878125,0.34791666,60,68,0,0,n91
6.896875,0.13333334,77,68,0,0,n92
6.9864583,0.057291668,76,64,0,0,n93
7.0645833,0.028125,75,59,0,0,n94
7.1427083,0.079166666,76,69,0,0,n95
7.2239585,0.063541666,75,57,0,0,n96
7.234375,0.12083333,55,53,0,0,n97
7.3145833,0.044791665,76,53,0,0,n98
7.378125,0.084375,77,71,0,0,n99
7.452083,0.029166667,76,63,0,0,n100
7.559375,0.33541667,65,67,0,0,n101
7.56875,0.08645833,76,81,0,0,n102
7.6875,0.058333334,74,72,0,0,n103
7.771875,0.052083332,73,71,0,0,n104
7.8770833,0.045833334,74,69,0,0,n105
7.914583,0.06875,55,53,0,0,n106
7.9416666,0.078125,73,65,0,0,n107
8.027083,0.07083333,74,73,0,0,n108
8.115625,0.051041666,76,65,0,0,n109
8.182292,0.08125,74,64,0,0,n110
8.275,0.59375,55,59,0,0,n111
8.279166,0.5885417,64,65,0,0,n112
8.301042,0.083333336,81,70,0,0,n113
8.4375,0.063541666,79,69,0,0,n114
8.513541,0.065625,78,73,0,0,n115
8.60625,0.07083333,79,60,0,0,n116
8.658334,0.10208333,88,69,0,0,n117
8.751041,0.11354167,84,69,0,0,n118
8.841666,0.041666668,81,67,0,0,n119
8.872916,0.040625,79,73,0,0,n120
9.015625,0.067708336,79,73,0,0,n121
