idx,matchtype,partid,ppartid
0,0,n9-1,n0
1,0,n1-1,n1
2,0,n2-1,n2
3,0,n3-1,n3
4,0,n4-1,n4
5,0,n5-1,n5
6,0,n10-1,n6
7,0,n6-1,n7
8,0,n7-1,n8
9,0,n8-1,n9
10,0,n11-1,n10
11,0,n19-1,n11
12,0,n12-1,n12
13,0,n13-1,n13
14,0,n14-1,n14
15,0,n15-1,n15
16,0,n20-1,n16
17,0,n16-1,n17
18,0,n17-1,n18
19,0,n18-1,n19
