TIME,VALUE,DURATION,LEVEL,LABEL
0.032291666,48,0.084375001,0.8,n9-1
0.033333335,74,0.106250003,0.8,n1-1
0.148958340,72,0.082291670,0.8,n2-1
0.247916669,71,0.075000003,0.8,n3-1
0.339583337,72,0.118749999,0.8,n4-1
0.481249988,60,0.100000001,0.8,n10-1
0.481249988,71,0.075000003,0.8,n5-1
0.579166651,72,0.075000003,0.8,n6-1
0.662500024,71,0.108333334,0.8,n7-1
0.784375012,72,0.075000003,0.8,n8-1
0.894791663,81,0.079166666,0.8,n11-1
0.896875024,64,0.129166663,0.8,n19-1
1.013541698,79,0.108333334,0.8,n12-1
1.126041651,78,0.105208330,0.8,n13-1
1.257291675,79,0.107291669,0.8,n14-1
1.376041651,60,0.103124999,0.8,n20-1
1.391666651,78,0.085416667,0.8,n15-1
1.500000000,79,0.075000003,0.8,n16-1
1.598958373,78,0.093750000,0.8,n17-1
1.694791675,79,0.094791666,0.8,n18-1
1.814583302,80,0.129166663,0.8,n21-1
1.848958373,65,0.157291666,0.8,n29-1
1.937500000,81,0.153125003,0.8,n22-1
2.063541651,84,0.151041672,0.8,n23-1
2.173958302,83,0.116666667,0.8,n24-1
2.284374952,86,0.121875003,0.8,n25-1
2.312500000,60,0.144791663,0.8,n30-1
2.390625000,84,0.130208328,0.8,n26-1
2.496875048,83,0.100000001,0.8,n27-1
2.576041698,81,0.075000003,0.8,n28-1
2.747916698,64,0.529166639,0.8,n40-1
2.750000000,81,0.083333336,0.8,n31-1
2.751041651,60,0.544791639,0.8,n39-1
2.852083445,79,0.119791664,0.8,n32-1
2.986458302,88,0.112499997,0.8,n33-1
3.082291603,86,0.133333340,0.8,n34-1
3.202083349,84,0.133333340,0.8,n35-1
3.312500000,83,0.096874997,0.8,n36-1
3.420833349,81,0.075000003,0.8,n37-1
3.523958445,61,0.075000003,0.8,n42-1
3.560416698,79,0.075000003,0.8,n38-1
3.678124905,79,0.110416666,0.8,n43-1
3.686458349,62,0.652083337,0.8,n51-1
3.811458349,77,0.092708334,0.8,n44-1
3.922916651,86,0.128124997,0.8,n45-1
4.022916794,84,0.242708340,0.8,n46-1
4.152083397,83,0.128124997,0.8,n47-1
4.254166603,81,0.087499999,0.8,n48-1
4.358333111,79,0.075000003,0.8,n49-1
4.472916603,59,0.075000003,0.8,n53-1
4.479166508,77,0.075000003,0.8,n50-1
4.602083206,77,0.106250003,0.8,n54-1
4.625000000,60,0.836458325,0.8,n62-1
4.738541603,76,0.132291660,0.8,n55-1
4.871874809,84,0.128124997,0.8,n56-1
4.978125095,83,0.162499994,0.8,n57-1
5.114583492,81,0.139583334,0.8,n58-1
5.213541508,79,0.101041667,0.8,n59-1
5.316666603,77,0.100000001,0.8,n60-1
5.442708492,76,0.120833330,0.8,n61-1
5.469791889,57,0.164583340,0.8,n64-1
5.576041698,74,0.302083343,0.8,n65-1
5.622916698,53,0.470833331,0.8,n69-1
5.853125095,81,0.228125006,0.8,n66-1
6.086458206,79,0.236458331,0.8,n67-1
6.101041794,55,0.388541669,0.8,n70-1
6.326041698,71,0.257291675,0.8,n68-1
6.581250191,72,0.584375024,0.8,n71-1
6.630208492,60,0.160416663,0.8,n73-1
7.081250191,48,0.210416660,0.8,n74-1
7.542708397,81,0.078125000,0.8,n75-1
7.554166794,64,0.092708334,0.8,n83-1
7.645833492,79,0.075000003,0.8,n76-1
7.772916794,78,0.075000003,0.8,n77-1
7.866666794,79,0.075000003,0.8,n78-1
7.967708111,78,0.162499994,0.8,n79-1
8.011458397,55,0.285416663,0.8,n84-1
8.069791794,79,0.116666667,0.8,n80-1
8.188541412,81,0.122916669,0.8,n81-1
8.295833588,79,0.075000003,0.8,n82-1
8.465624809,62,0.100000001,0.8,n93-1
8.468750000,79,0.081249997,0.8,n85-1
8.567708015,77,0.110416666,0.8,n86-1
8.683333397,76,0.095833331,0.8,n87-1
8.810416222,77,0.080208331,0.8,n88-1
8.909375191,55,0.120833330,0.8,n94-1
8.909375191,76,0.095833331,0.8,n89-1
9.003125191,77,0.082291670,0.8,n90-1
9.097916603,79,0.106250003,0.8,n91-1
9.206250191,77,0.075000003,0.8,n92-1
9.343750000,60,0.230208337,0.8,n103-1
9.359375000,77,0.123958334,0.8,n95-1
9.446874619,76,0.111458331,0.8,n96-1
9.568750381,75,0.081249997,0.8,n97-1
9.672916412,76,0.085416667,0.8,n98-1
9.782291412,75,0.093750000,0.8,n99-1
9.782291412,55,0.115625001,0.8,n104-1
9.884374619,76,0.091666669,0.8,n100-1
9.982291222,77,0.093750000,0.8,n101-1
10.064583778,76,0.075000003,0.8,n102-1
10.207291603,65,0.224999994,0.8,n113-1
10.225000381,76,0.079166666,0.8,n105-1
10.333333015,74,0.081249997,0.8,n106-1
10.456250191,73,0.079166666,0.8,n107-1
10.558333397,74,0.075000003,0.8,n108-1
10.677083015,73,0.087499999,0.8,n109-1
10.702083588,55,0.082291670,0.8,n114-1
10.780208588,74,0.075000003,0.8,n110-1
10.891666412,76,0.075000003,0.8,n111-1
10.972916603,74,0.075000003,0.8,n112-1
11.145833015,81,0.081249997,0.8,n115-1
11.146875381,64,0.734375000,0.8,n124-1
11.156250000,55,0.730208337,0.8,n123-1
