TIME,VALUE,DURATION,LEVEL,LABEL
0.014583333,74,0.075000003,0.8,n1-1
0.026041666,48,0.075000003,0.8,n9-1
0.100000001,72,0.075000003,0.8,n2-1
0.173958331,71,0.075000003,0.8,n3-1
0.252083331,72,0.075000003,0.8,n4-1
0.321875006,71,0.075000003,0.8,n5-1
0.354166657,60,0.075000003,0.8,n10-1
0.425000012,72,0.075000003,0.8,n6-1
0.487500012,71,0.095833331,0.8,n7-1
0.587499976,72,0.075000003,0.8,n8-1
0.638541639,81,0.075000003,0.8,n11-1
0.667708337,64,0.075000003,0.8,n19-1
0.782291651,79,0.075000003,0.8,n12-1
0.850000024,78,0.075000003,0.8,n13-1
0.930208325,79,0.075000003,0.8,n14-1
0.995833337,60,0.075000003,0.8,n20-1
1.004166722,78,0.075000003,0.8,n15-1
1.088541627,79,0.075000003,0.8,n16-1
1.173958302,78,0.075000003,0.8,n17-1
1.260416627,79,0.075000003,0.8,n18-1
1.320833325,65,0.075000003,0.8,n29-1
1.352083325,80,0.080208331,0.8,n21-1
1.442708373,81,0.089583330,0.8,n22-1
1.522916675,84,0.115625001,0.8,n23-1
1.600000024,83,0.083333336,0.8,n24-1
1.649999976,60,0.075000003,0.8,n30-1
1.696874976,86,0.103124999,0.8,n25-1
1.757291675,84,0.113541670,0.8,n26-1
1.837499976,83,0.075000003,0.8,n27-1
1.901041627,81,0.075000003,0.8,n28-1
1.982291698,64,0.513541639,0.8,n40-1
1.988541722,60,0.522916675,0.8,n39-1
2.019791603,81,0.079166666,0.8,n31-1
2.112499952,79,0.080208331,0.8,n32-1
2.210416555,88,0.110416666,0.8,n33-1
2.281250000,86,0.139583334,0.8,n34-1
2.365624905,84,0.092708334,0.8,n35-1
2.424999952,83,0.075000003,0.8,n36-1
2.493750095,81,0.075000003,0.8,n37-1
2.609375000,79,0.075000003,0.8,n38-1
2.631249905,61,0.075000003,0.8,n42-1
2.731250048,79,0.090625003,0.8,n43-1
2.763541698,62,0.484375000,0.8,n51-1
2.841666698,77,0.083333336,0.8,n44-1
2.953125000,86,0.109375000,0.8,n45-1
3.014583349,84,0.146874994,0.8,n46-1
3.107291698,83,0.075000003,0.8,n47-1
3.152083397,81,0.075000003,0.8,n48-1
3.220833302,79,0.075000003,0.8,n49-1
3.323958397,77,0.075000003,0.8,n50-1
3.331249952,59,0.152083337,0.8,n53-1
3.440624952,77,0.079166666,0.8,n54-1
3.471874952,60,0.433333337,0.8,n62-1
3.530208349,76,0.102083333,0.8,n55-1
3.626041651,84,0.116666667,0.8,n56-1
3.696875095,83,0.131249994,0.8,n57-1
3.791666746,81,0.075000003,0.8,n58-1
3.834374905,79,0.075000003,0.8,n59-1
3.908333302,77,0.075000003,0.8,n60-1
3.982291698,57,0.106250003,0.8,n64-1
3.998958349,76,0.092708334,0.8,n61-1
4.091666698,74,0.234375000,0.8,n65-1
4.106249809,53,0.344791681,0.8,n69-1
4.294791698,81,0.191666663,0.8,n66-1
4.458333492,79,0.173958331,0.8,n67-1
4.464583397,55,0.337500006,0.8,n70-1
4.642708302,71,0.202083334,0.8,n68-1
4.824999809,60,0.347916663,0.8,n73-1
4.826041698,72,0.292708337,0.8,n71-1
5.153124809,48,0.135416672,0.8,n74-1
5.479166508,81,0.075000003,0.8,n75-1
5.504166603,64,0.130208328,0.8,n83-1
5.562500000,79,0.075000003,0.8,n76-1
5.667708397,78,0.075000003,0.8,n77-1
5.758333206,79,0.075000003,0.8,n78-1
5.818749905,78,0.093750000,0.8,n79-1
5.835416794,55,0.106250003,0.8,n84-1
5.918749809,79,0.075000003,0.8,n80-1
5.983333111,81,0.121875003,0.8,n81-1
6.076041698,79,0.075000003,0.8,n82-1
6.189583302,62,0.371874988,0.8,n93-1
6.214583397,79,0.081249997,0.8,n85-1
6.311458111,77,0.075000003,0.8,n86-1
6.378125191,76,0.075000003,0.8,n87-1
6.474999905,77,0.075000003,0.8,n88-1
6.542708397,76,0.093750000,0.8,n89-1
6.552083492,55,0.122916669,0.8,n94-1
6.637499809,77,0.075000003,0.8,n90-1
6.684374809,79,0.095833331,0.8,n91-1
6.764583111,77,0.075000003,0.8,n92-1
6.878125191,60,0.347916663,0.8,n103-1
6.896874905,77,0.133333340,0.8,n95-1
6.986458302,76,0.075000003,0.8,n96-1
7.064583302,75,0.075000003,0.8,n97-1
7.142708302,76,0.079166666,0.8,n98-1
7.223958492,75,0.075000003,0.8,n99-1
7.234375000,55,0.120833330,0.8,n104-1
7.314583302,76,0.075000003,0.8,n100-1
7.378125191,77,0.084375001,0.8,n101-1
7.452083111,76,0.075000003,0.8,n102-1
7.559374809,65,0.335416675,0.8,n113-1
7.568749905,76,0.086458333,0.8,n105-1
7.687500000,74,0.075000003,0.8,n106-1
7.771874905,73,0.075000003,0.8,n107-1
7.877083302,74,0.075000003,0.8,n108-1
7.914583206,55,0.075000003,0.8,n114-1
7.941666603,73,0.078125000,0.8,n109-1
8.027083397,74,0.075000003,0.8,n110-1
8.115625381,76,0.075000003,0.8,n111-1
8.182291985,74,0.081249997,0.8,n112-1
8.274999619,55,0.593750000,0.8,n123-1
8.279166222,64,0.588541687,0.8,n124-1
8.301041603,81,0.083333336,0.8,n115-1
8.437500000,79,0.075000003,0.8,n116-1
8.513541222,78,0.075000003,0.8,n117-1
8.606249809,79,0.075000003,0.8,n118-1
8.658333778,88,0.102083333,0.8,n119-1
8.751041412,84,0.113541670,0.8,n120-1
8.841666222,81,0.075000003,0.8,n121-1
8.872916222,79,0.075000003,0.8,n122-1
